id,CleanContent
5,multimodal learning analytics mmla innovations make use rapidly evolving sensing artificial intelligence algorithms collect rich data learning activities unfold physical learning spaces analysis data opening exciting new avenues studying supporting learning yet practical logistical challenges commonly appear deploying mmla innovations inthewild span technical issues related enhancing learning space sensing capabilities increased complexity teachers tasks informed consent practicalities rarely discussed paper addresses gap presenting set lessons learnt year humancentred mmla inthewild study conducted students educators lessons learnt synthesised topics related technologicalphysical aspects deployment ii multimodal data interfaces iii design process iv participation ethics privacy v sustainability deployment
11,important develop sustainable processes materials science manufacturing environmentally friendly ai play significant role decision support evident earlier research leading tools developed using proposed machine learning based approaches tools served purpose computational estimation expert systems research addresses environmental sustainability materials science via decision support agile manufacturing using recycled reclaimed materials safe responsible way turn specific waste stream valueadded products propose use datadriven methods ai applying machine learning models predictive analysis guide decision support manufacturing includes harnessing artificial neural networks study parameters affecting heat treatment materials impacts properties deep learning via advances convolutional neural networks explore grain size detection classifiers random forests analyze phrase fraction detection results methods seem promising embark work eg ann yields accuracy around predicting microstructure development per quench tempering heat treatment process future work entails several challenges investigating various computer vision models vgg resnet etc find optimal accuracy efficiency robustness adequate sustainable processes creating domainspecific tools using machine learning decision support agile manufacturing assessing impacts sustainability metrics incorporating appropriate use recycled materials well effectiveness developed products work makes impacts green technology smart manufacturing motivated related work highly interesting realm ai materials science
34,highly energetic electronhole pairs hot carriers formed plasmon decay metallic nanostructures promise sustainable pathways energyharvesting devices however efficient collection thermalization remains obstacle realization full energy generating potential addressing challenge requires detailed understanding physical processes plasmon excitation metal collection molecule semiconductor atomistic theoretical investigation may particularly beneficial unfortunately firstprinciples theoretical modeling processes extremely costly limiting analysis systems atoms recent advances machine learned interatomic potentials suggest dynamics accelerated surrogate models replace full solution schroedinger equation modify existing neural network hierarchically interacting particle neural network hipnn predict plasmon dynamics ag nanoparticles demonstrate models capability accurately predict plasmon dynamics large nanoparticles atoms present training dataset importantly machine learning models gain speedup times compared rttddft calculations predicting important physical quantities dynamic dipole moments ag times extended nanoparticles times larger underscores promise future machine learning accelerated electronnuclear dynamics simulations understanding fundamental properties plasmondriven hot carrier devices
43,artificial intelligence ai history nearly century inception present day summarized development trends discovered universal rules including success failure analyzed reasons technical philosophical perspectives help understand reasons behind past failures current successes ai provide basis thinking exploring future development specifically found development ai different fields including computer vision natural language processing machine learning follows pattern rules statistics datadriven methods face past failures current successes need think systematically reasons behind given unity ai natural social sciences necessary incorporate philosophical thinking understand solve ai problems believe starting dialectical method marx feasible path concluded sustainable development direction ai humanmachine collaboration technology path centered computing power finally summarized impact ai society trend
45,deep learning experienced significant growth recent years resulting increased energy consumption carbon emission use gpus training deep neural networks dnns answering call sustainability conventional solutions attempted move training jobs locations time frames lower carbon intensity however moving jobs locations may always feasible due large dataset sizes data regulations moreover postponing training negatively impact application service quality dnns backing service updated timely fashion work present practical solution reduces carbon footprint dnn training without migrating postponing jobs specifically solution observes realtime carbon intensity shifts training controls energy consumption gpus thereby reducing carbon footprint maintaining training performance furthermore order proactively adapt shifting carbon intensity propose lightweight machine learning algorithm predicts carbon intensity upcoming time frame solution chase reduces total carbon footprint training resnet imagenet increasing training time
48,farms produce hundreds thousands data points ground daily farming technique combines farming practices insights uncovered data points using ai technology called precision farming precision farming technology augments extends farmers deep knowledge land making production sustainable profitable part larger effort microsoft empowering agricultural labor force productive sustainable paper presents ai technology predicting microclimate conditions farm article chapter publication food agriculture organization united nations international telecommunication union bangkok publication artificial intelligence ai agriculture fifth eagriculture action series launched jointly produced fao itu aims raise awareness existing ai applications agriculture inspire stakeholders develop replicate new ones improvement capacity tools capturing processing data substantial advances field machine learning open new horizons datadriven solutions support decisionmaking facilitate supervision monitoring improve timeliness effectiveness safety measures eg use pesticides support automation many resourceconsuming tasks agriculture publication presents reader collection informative applications highlighting various ways ai used agriculture offering valuable insights implementation process success factors lessons learnt
89,life earth depends healthy oceans supply large percentage planets oxygen food energy however oceans threat climate change devastating marine ecosystem economic social systems depend internetofunderwaterthings iouts global interconnection underwater objects enables roundtheclock monitoring oceans provides highresolution data training machine learning ml algorithms rapidly evaluating potential climate change solutions speeding decisionmaking sensors conventional iouts batterypowered limits lifetime constitutes environmental hazards die paper propose sustainable scheme improve throughput lifetime underwater networks enabling potentially operate indefinitely scheme based simultaneous wireless information power transfer swipt autonomous underwater vehicle auv used data collection model problem jointly maximising throughput harvested power markov decision process mdp develop modelfree reinforcement learning rl algorithm solution models reward function incentivises auv find optimal trajectories maximise throughput power transfer underwater nodes minimising energy consumption best knowledge first attempt using rl ensure sustainable underwater networks via swipt scheme implemented open rl environment specifically developed matlab study performance results show improvement energy efficiency compared random trajectory scheme used baseline model
90,economic issues inflation energy costs taxes interest rates constant presence daily lives exacerbated global events pandemics environmental disasters wars sustained history financial crises reveals significant weaknesses vulnerabilities foundations modern economies another significant issue currently people quitting jobs large numbers moreover many organizations diverse workforce comprising multiple generations posing new challenges transformative approaches economics labour markets needed protect societies economies planet work use big data machine learning methods discover multiperspective parameters multigenerational labour markets parameters academic perspective discovered using article abstracts web science period professionals perspective using linkedin posts discover total parameters categorised macroparameters learning skills employment sectors consumer industries learning employment issues generationsspecific issues complete machine learning software tool developed datadriven parameter discovery variety quantitative visualisation methods applied multiple taxonomies extracted explore multigenerational labour markets knowledge structure literature review multigenerational labour markets using research articles provided expected work enhance theory practice aibased methods knowledge discovery system parameter discovery develop autonomous capabilities systems promote novel approaches labour economics markets leading development sustainable societies economies
97,cloud platforms increasingly emphasizing sustainable operations order reduce operational carbon footprint one approach reducing emissions exploit temporal flexibility inherent many cloud workloads executing time periods greenest electricity supply suspending times since suspendresume approaches incur long delays job completion times present new approach exploits workload elasticity batch workloads cloud optimize carbon emissions approach based notion carbon scaling similar cloud autoscaling jobs server allocations varied dynamically based fluctuations carbon cost grids electricity supply present optimal greedy algorithm minimizing jobs emissions carbon scaling implement prototype systemname system kubernetes using autoscaling capabilities along analytic tool guide carbonefficient deployment batch applications cloud evaluate carbonscaler using realworld machine learning training mpi jobs commercial cloud platform show systemname yield carbon savings carbon agnostic execution stateoftheart suspend resume policies
112,electrical substations becoming prone cyberattacks due increasing digitalization prevailing defense measures based cyber rules often inadequate detect attacks use legitimatelooking measurements work design implement bad data detection solution electrical substations called resigate effectively combines physicsbased approach machinelearningbased approach provide substantial speedup highthroughput substation communication scenarios still maintaining high detection accuracy confidence many existing physicsbased schemes designed deployment control centers due high computational requirement resigate designed security appliance deployed lowcost industrial computers edge smart grid detect local substationlevel attacks timely manner key challenge continuously run computationally demanding physicsbased analysis monitor measurement data frequently transmitted typical substation provide high throughput without sacrificing accuracy resigate uses machine learning effectively filter nonsuspicious normal data thereby reducing overall computational load allowing efficient performance even high volume network traffic implement resigate lowcost industrial computer experiments confirm resigate detect attacks zero error sustaining high throughput
