title	id	updated	published	summary	primary_category
ArXiv Query: search_query=all:sustainability&id_list=&start=0&max_results=1000	http://arxiv.org/api/N2hxL8BqnV5qruINSW4ewUTiYJc	2023-03-20T00:00:00-04:00		nan	
"Efficient adiabatic demagnetization refrigeration to below 50 mK with
  UHV compatible Ytterbium diphosphates $A$YbP$_2$O$_7$ ($A=$Na, K)"	http://arxiv.org/abs/2303.09991v1	2023-03-17T14:06:40Z	2023-03-17T14:06:40Z	  Attaining milli-Kelvin temperatures is often a prerequisite for the study of novel quantum phenomena and the operation of quantum devices. Adiabatic demagnetization refrigeration (ADR) is an effective, easy and sustainable alternative to evaporation or dilution cooling with the rare and super-expensive $^3$He. Paramagnetic salts, traditionally used for mK-ADR, suffer from chemical instability related to crystal water. We report synthesis, characterization as well as low-temperature magnetization and specific heat measurements of two new UHV compatible candidate materials NaYbP$_2$O$_7$ and KYbP$_2$O$_7$. Utilizing the PPMS at 2 K, the ADR of sintered pellets with Ag powder admixture starting at 5 T yields base temperatures (warm-up times) of 45 mK (55 min) and 37 mK (35 min) for NaYbP$_2$O$_7$ and KYbP$_2$O$_7$, respectively, slightly advantageous to KBaYb(BO$_3$)$_2$ (45 mK and 40 min) studied under similar conditions. 	
A Resilient Power Distribution System using P2P Energy Sharing	http://arxiv.org/abs/2303.09471v1	2023-03-16T16:47:12Z	2023-03-16T16:47:12Z	  The adoption of distributed energy resources (DERs) such as solar panels and wind turbines is transforming the traditional energy grid into a more decentralized system, where microgrids are emerging as a key concept. Peer-to-Peer (P2P) energy sharing in microgrids enhances the efficiency and flexibility of the overall system by allowing the exchange of surplus energy and better management of energy resources. This work analyzes the impact of P2P energy sharing for three cases - within a microgrid, with neighboring microgrids, and all microgrids combined together in a distribution system. A standard IEEE 123 node test feeder integrated with renewable energy sources is partitioned into microgrids. For P2P energy sharing between microgrids, the results show significant benefits in cost, reduced energy dependence on the grid, and a significant improvement in the system's resilience. We also predicted the energy requirement for a microgrid to evaluate energy resilience for the control and operation of the microgrid. Overall, the analysis provides valuable insights into the performance and sustainability of microgrids with P2P energy sharing. 	
"Failure precursors and failure mechanisms in hierarchically patterned
  paper sheets in tensile and creep loading"	http://arxiv.org/abs/2303.09214v1	2023-03-16T10:42:18Z	2023-03-16T10:42:18Z	  Quasi-brittle materials endowed with (statistically) self-similar hierarcical microstructures show distinct failure patterns that deviate from the standard scenario of damage accumulation followed by crack nucleation-and-growth. Here we study the failure of paper sheets with hierarchical slice patterns as well as non-hierarchical and unpatterned reference samples, considering both uncracked samples and samples containing a macroscopic crack. Failure is studied under displacement-controlled tensile loading as well as under creep conditions. Acoustic emission records and surface strain patterns are recorded alongside stress-strain and creep curves. The measurements demonstrate that hierarchical patterning efficiently mitigates against strain localization and crack propagation. In tensile loading, this results in a significantly increased residual strength of cracked samples. Under creep conditions, for a given range of lifetimes hierarchically patterned samples are found to sustain larger creep strains at higher stress levels; their creep curves show unusual behavior characterized by multiple creep rate minima due to the repeated arrest of emergent localization bands. 	
"Capacity Analysis and Rate Maximization Design in RIS-Aided Uplink
  Multi-User MIMO"	http://arxiv.org/abs/2303.09140v1	2023-03-16T08:07:00Z	2023-03-16T08:07:00Z	  Reconfigurable intelligent surface (RIS) has recently drawn intensive attention due to its potential of simultaneously realizing high spectral and energy efficiency in a sustainable way. This paper focuses on the design of efficient transmission methods to maximize the uplink sum throughput in a RIS-aided multi-user multi-input multi-output (MU-MIMO) system. To provide an insightful basis, the channel capacity of RIS-aided MU-MIMO is theoretically analyzed. Then, the conventional transmission schemes based on orthogonal multiple access are presented as the baseline. From the information-theoretic perspective, we propose two novel schemes, i.e., \textit{joint transmission} based on the semidefinite relaxation of quadratic optimization problems and \textit{opportunistic transmission} relying on the best user selection. The superiority of the proposed schemes over the conventional ones in terms of achievable rates is justified through simulation results. 	
"Lessons Learnt from a Multimodal Learning Analytics Deployment
  In-the-wild"	http://arxiv.org/abs/2303.09099v1	2023-03-16T06:05:24Z	2023-03-16T06:05:24Z	"  Multimodal Learning Analytics (MMLA) innovations make use of rapidly evolving sensing and artificial intelligence algorithms to collect rich data about learning activities that unfold in physical learning spaces. The analysis of these data is opening exciting new avenues for both studying and supporting learning. Yet, practical and logistical challenges commonly appear while deploying MMLA innovations ""in-the-wild"". These can span from technical issues related to enhancing the learning space with sensing capabilities, to the increased complexity of teachers' tasks and informed consent. These practicalities have been rarely discussed. This paper addresses this gap by presenting a set of lessons learnt from a 2-year human-centred MMLA in-the-wild study conducted with 399 students and 17 educators. The lessons learnt were synthesised into topics related to i) technological/physical aspects of the deployment; ii) multimodal data and interfaces; iii) the design process; iv) participation, ethics and privacy; and v) the sustainability of the deployment. "	
Unifying flavors of fault tolerance with the ZX calculus	http://arxiv.org/abs/2303.08829v1	2023-03-15T18:00:00Z	2023-03-15T18:00:00Z	  There are several models of quantum computation which exhibit shared fundamental fault-tolerance properties. This article makes commonalities explicit by presenting these different models in a unifying framework based on the ZX calculus. We focus on models of topological fault tolerance - specifically surface codes - including circuit-based, measurement-based and fusion-based quantum computation, as well as the recently introduced model of Floquet codes. We find that all of these models can be viewed as different flavors of the same underlying stabilizer fault-tolerance structure, and sustain this through a set of local equivalence transformations which allow mapping between flavors. We anticipate that this unifying perspective will pave the way to transferring progress among the different views of stabilizer fault-tolerance and help researchers familiar with one model easily understand others. 	
Wilson matrix kernel for lattice QCD on A64FX architecture	http://arxiv.org/abs/2303.08609v1	2023-03-15T13:30:09Z	2023-03-15T13:30:09Z	  We study the implementation of the even-odd Wilson fermion matrix for lattice QCD simulations on the A64FX architecture. Efficient coding of the stencil operation is investigated for two-dimensional packing to SIMD vectors. We measure the sustained performance on the supercomputer Fugaku at RIKEN R-CCS and show the profiler result of our code, which may signal an unexpected source of slow-down in addition to the detailed efficiency of each part of the code. 	
"RIS-Enabled Smart Wireless Environments: Deployment Scenarios, Network
  Architecture, Bandwidth and Area of Influence"	http://arxiv.org/abs/2303.08505v1	2023-03-15T10:29:33Z	2023-03-15T10:29:33Z	  Reconfigurable Intelligent Surfaces (RISs) constitute the key enabler for programmable electromagnetic propagation environments, and are lately being considered as a candidate physical-layer technology for the demanding connectivity, reliability, localization, and sustainability requirements of next generation wireless networks. In this paper, we first present the deployment scenarios for RIS-enabled smart wireless environments that have been recently designed within the ongoing European Union Horizon 2020 RISE-6G project, as well as a network architecture integrating RISs with existing standardized interfaces. We identify various RIS deployment strategies and sketch the core architectural requirements in terms of RIS control and signaling, depending on the RIS hardware architectures and respective capabilities. Furthermore, we introduce and discuss, with the aid of simulations and reflectarray measurements, two novel metrics that emerge in the context of RIS-empowered wireless systems: the RIS bandwidth and area of influence. Their extensive investigation corroborates the need for careful deployment and planning of the RIS technology in future networks. 	
"Altruistic and Profit-oriented: Making Sense of Roles in Web3 Community
  from Airdrop Perspective"	http://arxiv.org/abs/2303.08457v1	2023-03-15T09:01:43Z	2023-03-15T09:01:43Z	  Regardless of which community, incentivizing users is a necessity for well-sustainable operations. In the blockchain-backed Web3 communities, known for their transparency and security, airdrop serves as a widespread incentive mechanism for allocating capital and power. However, it remains a controversy on how to justify airdrop to incentive and empower the decentralized governance. In this paper, we use ParaSwap as an example to propose a role taxonomy methodology through a data-driven study to understand the characteristic of community members and the effectiveness of airdrop. We find that users receive more rewards tend to take positive actions towards the community. We summarize several arbitrage patterns and confirm the current detection is not sufficient in screening out airdrop hunters. In conjunction with the results, we discuss from the aspects of interaction, financialization, and system design to conclude the challenges and possible research directions for decentralized communities. 	
