Title	Author	Date	Content	Label
what the frack is happening with natural gas prices	Stephen Lacey 	October 23, 2021	beginning pandemic energy prices crashed anepisode showtrying figure oil prices fell negative per barreltimes changed oil barrel far acute ’ happening natural gas particularly europe asia us natural gas prices doubled last year parts europe price risen timesthe disruptions clear seeing stories power shortages china fertilizer plants shut uk fears home heating costs northeast us winter approachesso heck going long might last tell us futureto answer questions shayle turns leslie paltiguzmanthe president gas vista nonresident fellowat nyu sps center global affairsshayle leslie cover many demandside supplyside issues talk comes next crisis reveal vulnerability energy system countries double renewables gas shore resiliencythe interchangeis brought schneider electric building microgrid microgrid store electricity sell back peak times keep power outage integrate renewables control energy terms built microgrids anyone elseschneider electrichas expertise helpthe interchangeis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge today times changed oil barrel far acute ’ happening natural gas particularly europe asia us natural gas prices doubled last year parts europe price risen times disruptions clear seeing stories power shortages china fertilizer plants shut uk fears home heating costs northeast us winter approaches heck going long might last tell us future answer questions shayle turns leslie paltiguzmanthe president gas vista nonresident fellowat nyu sps center global affairs shayle leslie cover many demandside supplyside issues talk comes next crisis reveal vulnerability energy system countries double renewables gas shore resiliency interchangeis brought schneider electric building microgrid microgrid store electricity sell back peak times keep power outage integrate renewables control energy terms built microgrids anyone elseschneider electrichas expertise help interchangeis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge today	green_tech
where will doe’s loan program make the next climate tech investments	Stephen Lacey 	October 21, 2021	us department energy crucial funding researching testing emerging energy technow biden era agency orienting toward deployment difficult transitionour former cohost jigar shah joins stephen katherine ed discuss experience running energy department ’ loan programs officein march jigar left position generate capital podcast head government service run loan programs office jigar billion authority back wide range climate technologies ’ workingon first round investments dollarsin second half show surprising twist global cleanenergy transition much trouble willenergy price inflationcause around worldthe energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge todaythe energy gangis brought hitachi energy energy future look like look hitachi energy advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn biden era agency orienting toward deployment difficult transition former cohost jigar shah joins stephen katherine ed discuss experience running energy department ’ loan programs office march jigar left position generate capital podcast head government service run loan programs office jigar billion authority back wide range climate technologies ’ workingon first round investments dollars second half show surprising twist global cleanenergy transition much trouble willenergy price inflationcause around world energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge today energy gangis brought hitachi energy energy future look like look hitachi energy advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn	green_tech
with an energy crisis brewing no peak in sight for emissions	Stephen Lacey 	October 14, 2021	eia iea projections emissions fossil fuel consumption ’ look goodon current policy trajectory peak sightaccording eiaby likely see increase energy consumption even though renewables fastestgrowing new source energy hydrocarbon liquid fuelswill meet majority demandthat means emissions could rise absent massive changes policyin july international energy agencyissued similar analysisshowing carbon emissions hit record levels coming years spending packages around world even historic levels still enoughhow make sense sobering analysisplus wood mackenzie outwith new analysisof global energy storage trends showing storage deployments set triple year growth coming america china account installations applications technologies marketsthat dominate growthfinally europe crisis headed winter natural gas secondmost confused fuel europe prices times higherthan springa confluence factors rapidly rising demand lower production expected russia low storage europe lowerthanexpected hydro wind production contributing problemwhat couldalleviate crisis thisput strain europe ’ climate ambitionsheaded copthe energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge todaythe energy gangis brought hitachi energy energy future look like look hitachi energy advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn current policy trajectory peak sightaccording eiaby likely see increase energy consumption even though renewables fastestgrowing new source energy hydrocarbon liquid fuelswill meet majority demand means emissions could rise absent massive changes policy july international energy agencyissued similar analysisshowing carbon emissions hit record levels coming years spending packages around world even historic levels still enough make sense sobering analysis plus wood mackenzie outwith new analysisof global energy storage trends showing storage deployments set triple year growth coming america china account installations applications technologies marketsthat dominate growth finally europe crisis headed winter natural gas secondmost confused fuel europe prices times higherthan spring confluence factors rapidly rising demand lower production expected russia low storage europe lowerthanexpected hydro wind production contributing problem couldalleviate crisis thisput strain europe ’ climate ambitionsheaded cop energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge today energy gangis brought hitachi energy energy future look like look hitachi energy advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn	green_tech
why transittech is so vital to struggling public transportation systems	Stephen Lacey 	October 10, 2021	ride sharing swept transportation systems last decade bringing convenience also congestion inequities political fightsnow new category transportation networking emergingtransittechit makes class companies using tech help maximize public transit systems transittech look like postpandemictiffany chujoinskatherineandstephenthis week discuss path forward transit tiffany cofounder ceo remix recently acquired via millionwe ’ also dig intoa new studyfrom carnegie mellon university shows uber lyft increasing external societal environmental costs compared personal car drivingwe ’ wrap discussion transportation play upcoming legislation climate infrastructurethe energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge todaythe energy gangis brought hitachi abb power grids energy future look like look hitachi abb power grids advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn new category transportation networking emergingtransittech makes class companies using tech help maximize public transit systems transittech look like postpandemic tiffany chujoinskatherineandstephenthis week discuss path forward transit tiffany cofounder ceo remix recently acquired via million ’ also dig intoa new studyfrom carnegie mellon university shows uber lyft increasing external societal environmental costs compared personal car driving ’ wrap discussion transportation play upcoming legislation climate infrastructure energy gangis brought bloom energy bloom ’ onsite energy platform provides unparalleled control looking secure clean reliable power scales meet critical business needs eliminates outage price risk accelerating us towards zero carbon future visitbloom energyto learn take charge today energy gangis brought hitachi abb power grids energy future look like look hitachi abb power grids advanced energy technologies needed deliver real outcomes unlocking new revenue streams maximizing renewable integration lowering carbon emissionslearn	green_tech
carbon recycling microbes jet fuel and leggings	Stephen Lacey 	September 30, 2021	shayle brewing investment thesis around decarbonization create stratification traditional commodity sectors like chemicals materialsif produce thing cost range cofree carbonnegative youll reap rewardslanzatechis great test case thesis well great story tell history sector founded biofuels company captures industrial waste gasses co co recycles chemicals used make everything plastics medical supplies fabric lululemon even spun entire company focused jet fuelshayle talks ceodr jennifer holmgrenabout carbon recycling big dent could make global greenhouse gas emissions break economics competing undifferentiated ethanol jet fuel chemicals brand interest driving interest carbon recycling techjennifer hints potential applying genetics expertise medicine industrial biotechnology one day lanzatech hopes produce acetone isopropyl alcohol valuable chemicals directly carboneating microbes reflects leading one companies survive booms busts cleantech years explains lanzatech team decidednotto ask bacteria cartwheelsthe interchange brought hitachi abb power grids building renewable plant looking battery energy storage system thinking integrate renewables gridhitachi abb power gridsis choicethe interchange brought bylongi solar world ’ leading solar technology company global market leader longi unmatched bankability quality performance validated thirdparty laboratories breakthrough innovation wafer module level produce thing cost range cofree carbonnegative youll reap rewards lanzatechis great test case thesis well great story tell history sector founded biofuels company captures industrial waste gasses co co recycles chemicals used make everything plastics medical supplies fabric lululemon even spun entire company focused jet fuel shayle talks ceodr jennifer holmgrenabout carbon recycling big dent could make global greenhouse gas emissions break economics competing undifferentiated ethanol jet fuel chemicals brand interest driving interest carbon recycling tech jennifer hints potential applying genetics expertise medicine industrial biotechnology one day lanzatech hopes produce acetone isopropyl alcohol valuable chemicals directly carboneating microbes reflects leading one companies survive booms busts cleantech years explains lanzatech team decidednotto ask bacteria cartwheels interchange brought hitachi abb power grids building renewable plant looking battery energy storage system thinking integrate renewables gridhitachi abb power gridsis choice interchange brought bylongi solar world ’ leading solar technology company global market leader longi unmatched bankability quality performance validated thirdparty laboratories breakthrough innovation wafer module level	green_tech
the hidden science behind decarbonizing buildings	Stephen Lacey 	September 30, 2021	around us hidden inside buildings series choices tradeoffs choices direct impacts health money energy useour buildings wasteful andare filled lot “ embodied ” carbon result buildings directly indirectly account percent global emissionshow make choices better building scienceand use science design carbon buildingsthis week katherine stephen joined christine williamson creator ofbuilding science fight club building scientist teaches architects think intelligently designing residential commercial buildings improve comfort energy performance minimizing system failuresshe also unconventional take green building space arguing many “ feel good ” approaches necessarily functionalchristy spent career inside homes commercial buildings using “ building forensics ” identify problems design operation ontheground practitioner think ’ effective improving performance buildings ’ notthe energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn morethe energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn buildings wasteful andare filled lot “ embodied ” carbon result buildings directly indirectly account percent global emissions make choices better building science use science design carbon buildings week katherine stephen joined christine williamson creator ofbuilding science fight club building scientist teaches architects think intelligently designing residential commercial buildings improve comfort energy performance minimizing system failures also unconventional take green building space arguing many “ feel good ” approaches necessarily functional christy spent career inside homes commercial buildings using “ building forensics ” identify problems design operation ontheground practitioner think ’ effective improving performance buildings ’ energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn	green_tech
microsoft’s b climate innovation fund	Stephen Lacey 	September 24, 2021	january brad smith president microsoft announced company set target becoming carbonnegativeby company plan going carbon negative actually entail brandon middaugh director microsoft ’ bclimate innovation fund comes show explain fund invests various climate technologies part company ’ overall climate efforts investments portfolio cover carbon removal carbon marketplace innovation circular economy among others fund ’ first investment energy impact partners shayle partner shayle brandon break sources company ’ emissions climate strategy building climate “ fee ” company ’ operations funnel back fund talk need scale promising new technologies far faster even wind solar discussing microsoft support widespread adoption plus brandon highlights investments shes excited far interchange brought hitachi abb power grids building renewable plant looking battery energy storage system thinking integrate renewables gridhitachi abb power gridsis choice interchange brought bylongi solar world ’ leading solar technology company global market leader longi unmatched bankability quality performance validated thirdparty laboratories breakthrough innovation wafer module level	green_tech
will directair carbon capture be viable	Stephen Lacey 	September 20, 2021	carbon capture long criticized nascent expensive distracting changingthis month swiss company climeworksofficially launcheda directair capture plant iceland called orcathe company already signed deals swissre bill gates stripe shopify sell credits plant tech still pretty expensive relatively small scaleclimeworks wants build megatonscale plants end decade lots plants works commercial launch signal carboncapture industryplusnew researchshows drastically need slash fossil fuels limit dangerous warmingand californiatries fixthe busted recycling system “ truth advertising ” law aimed plastics companiesthe energy gang wood mackenzie podcastthe energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn morethe energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn month swiss company climeworksofficially launcheda directair capture plant iceland called orca company already signed deals swissre bill gates stripe shopify sell credits plant tech still pretty expensive relatively small scale climeworks wants build megatonscale plants end decade lots plants works commercial launch signal carboncapture industry plusnew researchshows drastically need slash fossil fuels limit dangerous warming californiatries fixthe busted recycling system “ truth advertising ” law aimed plastics companies energy gang wood mackenzie podcast energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn	green_tech
will hydrogen look like solar	Stephen Lacey 	September 16, 2021	road solar glory littered failed companies ones may know solyndra hundreds probably burgeoning hydrogen space follow similar bumpy road hydrogen similar phase market technological maturity similar levels hype episode shayle talks toraffi garabedian former cto pioneering solar manufacturer first solar cofounder ceo electric hydrogen co disclosure shayle led energy impact partners ’ investment company first solar one western companies survived price pressure commoditization trade dynamics solar industry early growth phase first solar tell us surviving headybutvolatile hydrogen space shayle raffi dig history covering first solar ’ bet massproducible cadmium telluride technology well risky step retooling manufacturing also cover parallels hydrogen novel technology compete dominant incumbents technology navigate boomandbust cycles emerging market executive team pick useful metric creative teams interchange brought hitachi abb power grids building renewable plant looking battery energy storage system thinking integrate renewables gridhitachi abb power gridsis choice interchange brought bylongi solar world ’ leading solar technology company global market leader longi unmatched bankability quality performance validated thirdparty laboratories breakthrough innovation wafer module level	green_tech
power after carbon	Stephen Lacey 	September 14, 2021	electric grid central pillar zerocarbon economy era unrelenting weather extremes ’ also one fragilethis week power carbon look likekatherine stephen joined dr peter foxpenner author new book called “ power carbon ” peter founder boston university institute sustainable energy ’ partner chief strategy officer vc firm energy impact partnersat turn last decade peter wrote book called “ smart power ” looked new pressures utilities facing around climate policy emerging distributed energy digitization ’ look ’ changed last decadeplus ’ talk whyentergy ’ resistance distributed energyin louisiana created vulnerabilities hurricane idathe energy gang wood mackenzie podcastthe energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn morethe energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn week power carbon look like katherine stephen joined dr peter foxpenner author new book called “ power carbon ” peter founder boston university institute sustainable energy ’ partner chief strategy officer vc firm energy impact partners turn last decade peter wrote book called “ smart power ” looked new pressures utilities facing around climate policy emerging distributed energy digitization ’ look ’ changed last decade plus ’ talk whyentergy ’ resistance distributed energyin louisiana created vulnerabilities hurricane ida energy gang wood mackenzie podcast energy gang brought sungrow leading provider pv inverter solutions across world sungrow delivered gigawatts inverters americas alone gigawatts total across globe email learn energy gang brought sc electric company today nonwires alternatives microgrids provide sustainable resilient economical ways deliver reliable power sc helps utilities commercial customers find best solutions meet energy needslearn	green_tech
